star_id,tmass_id,tmass_distance,tmass_angle,ra,dec,start_time,end_time,jmag,hmag,kmag,lcfilter,npts
XO-DR1_1179,2MASS J15520646+2930067,2.035683,-28.699436,238.0273,29.5014,2453080.14,2453566.05,10.051,9.521,9.425,W (XO),2931
XO-DR1_117,2MASS J16160000+3343316,10.717072,-2.081414,244.0001,33.7225,2453080.14,2453566.05,9.191,9.191,9.172,W (XO),2778
XO-DR1_1180,,,,240.5895,27.585,2453080.14,2453566.04,,,,W (XO),1857
XO-DR1_1181,2MASS J16065115+3012296,1.737389,40.67836,241.7128,30.2079,2453080.14,2453566.05,10.05,9.534,9.419,W (XO),2960
XO-DR1_1183,2MASS J16030306+3049257,2.479376,89.999794,240.762,30.8238,2453080.14,2453566.05,10.727,10.462,10.446,W (XO),2952
XO-DR1_1184,2MASS J15484983+3036388,4.291663,-136.868301,237.2086,30.6117,2453080.14,2453566.05,10.865,10.432,10.341,W (XO),2927
XO-DR1_1185,2MASS J15545275+3405592,10.108616,-33.18425,238.7217,34.0975,2453080.14,2453566.05,10.788,10.554,10.502,W (XO),2894
XO-DR1_1187,2MASS J15590986+3048056,1.06202,52.643593,239.7908,30.8014,2453080.14,2453566.05,10.114,9.586,9.5,W (XO),2964
XO-DR1_1188,2MASS J16115972+3311198,5.167458,5.822419,242.9987,33.1874,2453080.14,2453566.05,10.841,10.618,10.576,W (XO),2955
XO-DR1_118,2MASS J15431531+3051436,6.660014,90.711792,235.8117,30.8622,2453080.14,2453566.05,8.382,8.146,8.099,W (XO),3364
XO-DR1_1190,2MASS J16143225+3310095,6.765914,-31.585308,243.6356,33.1677,2453080.14,2453566.05,10.977,10.711,10.69,W (XO),2972
XO-DR1_1192,2MASS J16122970+3356168,15.480253,42.505814,243.1203,33.9348,2453080.14,2453566.05,10.163,9.628,9.485,W (XO),2944
XO-DR1_1193,2MASS J15581335+2835185,1.968585,104.833992,239.555,28.5886,2453080.14,2453566.05,10.049,9.569,9.474,W (XO),2943
XO-DR1_1195,2MASS J15432187+3256333,4.335189,-137.793259,235.8421,32.9435,2453080.14,2453566.05,10.576,10.264,10.19,W (XO),2816
XO-DR1_1196,2MASS J16092302+3338002,9.801391,39.228401,242.3439,33.6313,2453080.14,2453566.05,10.29,9.819,9.747,W (XO),2921
XO-DR1_1197,2MASS J15541723+2750394,4.867332,-124.509865,238.5731,27.8451,2453080.14,2453566.05,10.327,9.881,9.757,W (XO),2906
XO-DR1_1198,2MASS J15481851+2744224,7.204852,-37.770473,237.0785,27.738,2453080.14,2453566.05,16.58,16.044,15.551,W (XO),2877
XO-DR1_1199,2MASS J16065454+2935471,2.839758,53.156525,241.7266,29.596,2453080.14,2453566.05,10.623,10.303,10.239,W (XO),2906
XO-DR1_119,2MASS J16035505+3102349,2.548844,88.300117,240.9786,31.043,2453080.14,2453566.05,8.012,7.605,7.565,W (XO),3432
XO-DR1_11,2MASS J16083880+3022566,1.144654,-9.053764,242.1618,30.3821,2453080.14,2453566.05,6.211,5.725,5.601,W (XO),3236
XO-DR1_1200,2MASS J15465165+2858414,1.22137,145.619186,236.715,28.9784,2453080.14,2453566.05,12.645,12.261,12.158,W (XO),2851
